,Name,Tags
0,The Weeknd,rnb electronic Canadian dubstep prog-rnb
1,Billie Eilish,pop indiepop seenlive electropop indie
2,Charli XCX,pop synthpop electronic seenlive femalevocalists
3,Lady Gaga,pop dance electronic femalevocalists femalevocalist
4,Kendrick Lamar,Hip-Hop rap seenlive westcoast hiphop
5,Kanye West,Hip-Hop rap hiphop rnb KanyeWest
6,Sabrina Carpenter,pop indiepop alternative folk poprock
7,Chappell Roan,pop indiepop synthpop seenlive electropop
8,Lana Del Rey,femalevocalists indie indiepop pop alternative
9,Taylor Swift,country pop femalevocalists singer-songwriter acoustic
10,"Tyler, the Creator",Hip-Hop rap ofwgkta undergroundhip-hop swag
11,Radiohead,alternative alternativerock rock indie electronic
12,Rihanna,pop rnb femalevocalists dance Hip-Hop
13,Arctic Monkeys,indierock indie british rock alternative
14,Drake,Hip-Hop rap rnb hiphop Canadian
15,Frank Ocean,rnb soul Hip-Hop r&b ofwgkta
16,Ariana Grande,pop rnb femalevocalists ArianaGrande american
17,Travis Scott,Hip-Hop trap rap hiphop Houston
18,SZA,rnb soul electronic alternativernb femalevocalists
19,Mitski,seenlive indierock indie indiepop dreampop
20,Coldplay,rock alternative britpop alternativerock indie
21,Steve Lacy,jazz freejazz saxophone Avant-GardeJazz sopranosax
22,Clairo,bedroompop dreampop indiepop seenlive Lo-Fi
23,Olivia Rodrigo,pop poprock rock indiepop femalevocalists
24,Doja Cat,pop rnb rap Hip-Hop femalevocalists
25,The Neighbourhood,indie indierock indiepop rock seenlive
26,Linkin Park,rock NuMetal alternativerock alternative metal
27,Katy Perry,pop femalevocalists poprock indie rock
28,The Smiths,indie 80s post-punk newwave alternative
29,Tame Impala,PsychedelicRock psychedelic indierock seenlive australian
30,Childish Gambino,Hip-Hop rap seenlive indie hiphop
31,Future,Hip-Hop rap trap hiphop atlanta
32,Nirvana,Grunge rock alternative alternativerock 90s
33,Bruno Mars,pop rnb malevocalists r&b slowjams
34,Beyoncé,rnb pop femalevocalists soul Hip-Hop
35,A$AP Rocky,Hip-Hop rap seenlive undergroundhip-hop swag
36,Paramore,rock poppunk alternative femalevocalists emo
37,Gorillaz,alternative electronic Hip-Hop rock indie
38,TV Girl,indiepop Lo-Fi indie chillwave seenlive
39,Eminem,rap Hip-Hop Eminem hiphop pop
40,Mac DeMarco,Lo-Fi indie seenlive experimental post-punk
41,Post Malone,Hip-Hop rap trap pop cloudrap
42,The Beatles,classicrock rock british 60s pop
